# x_ref_m; y_ref_m; width_right_m; width_left_m; x_normvec_m; y_normvec_m; alpha_m; s_racetraj_m; psi_racetraj_rad; kappa_racetraj_radpm; vx_racetraj_mps; ax_racetraj_mps2
-0.2681271; 4.7960091; 0.3386049; 0.5869168; -0.9983441; 0.0575251; -0.0014161; 18.7726282; 3.0798034; -0.0035137; 8.5000000; -1.8241025
-0.2797124; 4.5966395; 0.3402151; 0.6133197; -0.9982870; 0.0585071; -0.0005987; 18.9723368; 3.0791301; -0.0032291; 8.4570382; -9.9285884
-0.2914994; 4.3972817; 0.3466933; 0.6337754; -0.9982255; 0.0595479; 0.0001449; 19.1720443; 3.0785182; -0.0028985; 8.2192604; -9.9548873
-0.3035010; 4.1979368; 0.3443247; 0.6230298; -0.9981587; 0.0606565; 0.0007888; 19.3717508; 3.0779769; -0.0025230; 7.9737373; -9.9814184
-0.3157315; 3.9986057; 0.3341536; 0.5956154; -0.9980859; 0.0618424; 0.0013034; 19.5714561; 3.0775155; -0.0020972; 7.7197237; -10.0079620
-0.3282073; 3.7992898; 0.3252178; 0.5851845; -0.9980063; 0.0631146; 0.0016555; 19.7711605; 3.0771432; -0.0016311; 7.4563517; -10.0333458
-0.3409460; 3.5999905; 0.3187441; 0.5897523; -0.9979194; 0.0644732; 0.0018094; 19.9708642; 3.0768603; -0.0012034; 7.1826242; -10.0530063
-0.3539631; 3.4007093; 0.3132216; 0.5967255; -0.9978264; 0.0658977; 0.0017332; 20.1705676; 3.0766463; -0.0009412; 6.8974740; -10.0586958
-0.3672682; 3.2014470; 0.3082995; 0.6030895; -0.9977293; 0.0673510; 0.0014071; 20.3702716; 3.0764643; -0.0008833; 6.5998434; -10.0356926
-0.3808610; 3.0022050; 0.3039341; 0.6087597; -0.9976331; 0.0687622; 0.0008312; 20.5699759; 3.0762440; -0.0013283; 6.2888715; -10.0357016
-0.3946364; 2.8029783; 0.3001098; 0.6112002; -0.9976352; 0.0687317; 0.0001098; 20.7696795; 3.0761613; 0.0005236; 5.9617006; -8.9246832
-0.4079302; 2.6037174; 0.3030664; 0.6073415; -0.9980166; 0.0629517; -0.0003752; 20.9693829; 3.0797594; 0.0358580; 5.6548703; -7.4380764
-0.4192220; 2.4043303; 0.3180672; 0.5977256; -0.9988092; 0.0487874; -0.0004268; 21.1690851; 3.0923608; 0.0905518; 5.3858109; -6.3378940
-0.4268464; 2.2047715; 0.3387225; 0.5843904; -0.9996605; 0.0260555; -0.0004081; 21.3687845; 3.1154391; 0.1405501; 5.1454590; -5.4894405
-0.4290066; 2.0050837; 0.3631455; 0.5672718; -0.9999818; -0.0060254; -0.0005322; 21.5684778; -3.1349453; 0.1879775; 4.9278180; -4.7877514
-0.4237964; 1.8054588; 0.3920758; 0.5456700; -0.9988584; -0.0477698; -0.0007989; 21.7681577; -3.0926982; 0.2352193; 4.7298278; -4.1906974
-0.4092823; 1.6063020; 0.4259718; 0.5191792; -0.9950682; -0.0991935; -0.0011483; 21.9678148; -3.0409790; 0.2829060; 4.5494617; -3.6566163
-0.3835429; 1.4082925; 0.4648655; 0.4878340; -0.9870936; -0.1601442; -0.0015159; 22.1674396; -2.9796076; 0.3319760; 4.3860269; -3.1533779
-0.3447069; 1.2124417; 0.5081817; 0.4522936; -0.9731242; -0.2302811; -0.0018667; 22.3670250; -2.9082467; 0.3830675; 4.2400288; -2.6562513
-0.2909854; 1.0201544; 0.5544898; 0.4140911; -0.9510198; -0.3091301; -0.0021966; 22.5665647; -2.8264812; 0.4363355; 4.1130278; -2.1442857
-0.2206927; 0.8333034; 0.6017696; 0.3758135; -0.9181933; -0.3961327; -0.0024800; 22.7660536; -2.7339209; 0.4913598; 4.0075702; -1.5282050
-0.1322840; 0.6543317; 0.6625359; 0.3393685; -0.8715385; -0.4903270; -0.0025943; 22.9654930; -2.6299850; 0.5505568; 3.9306855; -0.7676739
-0.0244666; 0.4863765; 0.7703881; 0.3092431; -0.8071979; -0.5902809; -0.0023035; 23.1648969; -2.5140334; 0.6118789; 3.8914903; -0.0337527
0.1035219; 0.3332763; 0.8326798; 0.3012041; -0.7228201; -0.6910362; -0.0012041; 23.3643547; -2.3870725; 0.6609291; 3.8897579; -0.0337527
0.2506675; 0.1984635; 0.7383027; 0.3245453; -0.6269787; -0.7790364; 0.0006245; 23.5640260; -2.2581585; 0.6320022; 3.8880248; 0.4124670
0.4133454; 0.0828344; 0.6345607; 0.3621569; -0.5314870; -0.8470665; 0.0022268; 23.7639016; -2.1384674; 0.5682446; 3.9091516; 1.2822984
0.5878674; -0.0140566; 0.5826037; 0.3957444; -0.4395988; -0.8981942; 0.0033295; 23.9639059; -2.0308887; 0.5103740; 3.9741147; 1.9041313
0.7711835; -0.0931101; 0.5435676; 0.4277673; -0.3531440; -0.9355690; 0.0039313; 24.1639613; -1.9340943; 0.4599352; 4.0686674; 2.3492793
0.9608186; -0.1555432; 0.5054535; 0.4592062; -0.2732172; -0.9619524; 0.0039757; 24.3640048; -1.8472785; 0.4101115; 4.1823801; 2.7871834
1.1548318; -0.2027037; 0.4697507; 0.4884707; -0.2002893; -0.9797368; 0.0035438; 24.5639999; -1.7701312; 0.3629520; 4.3134025; 3.2056126
1.3517024; -0.2360379; 0.4372211; 0.5147121; -0.1348009; -0.9908727; 0.0027607; 24.7639223; -1.7022551; 0.3170941; 4.4593374; 3.6500041
1.5502743; -0.2570599; 0.4081486; 0.5375731; -0.0770352; -0.9970284; 0.0017696; 24.9637673; -1.6433817; 0.2726988; 4.6198938; 4.1320631
1.7496982; -0.2673348; 0.3825040; 0.5570198; -0.0271933; -0.9996302; 0.0007013; 25.1635417; -1.5932918; 0.2290564; 4.7951716; 4.6818590
1.9493877; -0.2684583; 0.3600630; 0.5732217; 0.0145840; -0.9998936; -0.0003291; 25.3632596; -1.5518114; 0.1864312; 4.9863312; 5.2445341
2.1489833; -0.2620489; 0.3404970; 0.5864627; 0.0482614; -0.9988347; -0.0012345; 25.5629434; -1.5188588; 0.1436155; 5.1921139; 5.2398616
2.3483045; -0.2497152; 0.3234283; 0.5970849; 0.0739276; -0.9972636; -0.0019105; 25.7626119; -1.4944743; 0.1006083; 5.3898728; 5.2351932
2.5473112; -0.2330503; 0.3089310; 0.6052177; 0.0916459; -0.9957917; -0.0022317; 25.9622808; -1.4786764; 0.0576162; 5.5804611; 5.2305290
2.7460721; -0.2136566; 0.3050790; 0.6081894; 0.1011641; -0.9948698; -0.0021063; 26.1619653; -1.4711808; 0.0174994; 5.7645902; 5.2258689
2.9447300; -0.1932189; 0.3044324; 0.6101602; 0.1020475; -0.9947795; -0.0016190; 26.3616703; -1.4715205; -0.0208746; 5.9428608; 5.2212130
3.1434579; -0.1734788; 0.3018184; 0.6127662; 0.0941983; -0.9955535; -0.0009745; 26.5613875; -1.4795854; -0.0599104; 6.1157852; 5.2165612
3.3424092; -0.1561740; 0.3003740; 0.6140442; 0.0776510; -0.9969806; -0.0003651; 26.7611037; -1.4954317; -0.0988043; 6.2838049; 5.2119136
3.5416738; -0.1430429; 0.3000000; 0.6142511; 0.0524126; -0.9986255; -0.0000000; 26.9608098; -1.5187405; -0.1346127; 6.4473036; 4.3117256
3.7412287; -0.1356350; 0.3000000; 0.6140848; 0.0212444; -0.9997743; -0.0000000; 27.1605097; -1.5488577; -0.1670000; 6.5794931; 2.6740451
3.9409207; -0.1346050; 0.3000000; 0.6139206; -0.0106318; -0.9999435; -0.0000000; 27.3602130; -1.5810825; -0.1551537; 6.6601563; 3.0187858
4.1405554; -0.1396834; 0.3000129; 0.6137467; -0.0395319; -0.9992183; -0.0000119; 27.5599191; -1.6096045; -0.1303499; 6.7500605; 3.9591834
4.3399858; -0.1500952; 0.3002133; 0.6133887; -0.0639340; -0.9979541; -0.0001684; 27.7596278; -1.6332699; -0.1067024; 6.8661871; 4.8643943
4.5391386; -0.1648934; 0.3007522; 0.6126955; -0.0834397; -0.9965128; -0.0004731; 27.9593391; -1.6522957; -0.0838670; 7.0062296; -0.1609476
