
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
48.325391; 9.284474; 16.721743; -0.048217; 0.001420; 8.500000; 0.000000; 0.385147; 0.628605
48.525097; 9.292103; 16.921304; -0.047901; 0.001746; 8.500000; 0.000000; 0.393284; 0.636405
48.724803; 9.299799; 17.120861; -0.047525; 0.002022; 8.500000; 0.000000; 0.386739; 0.636974
48.924509; 9.307572; 17.320416; -0.047100; 0.002237; 8.500000; 0.000000; 0.370518; 0.631099
49.124215; 9.315431; 17.519967; -0.046638; 0.002378; 8.500000; 0.000000; 0.355432; 0.624132
49.323921; 9.323379; 17.719515; -0.046157; 0.002437; 8.500000; 0.000000; 0.341535; 0.616027
49.523627; 9.331418; 17.919059; -0.045674; 0.002404; 8.500000; 0.000000; 0.329060; 0.606986
49.723333; 9.339547; 18.118600; -0.045207; 0.002272; 8.500000; 0.000000; 0.319896; 0.599218
49.923038; 9.347759; 18.318137; -0.044777; 0.002033; 8.500000; 0.000000; 0.316272; 0.596849
50.122744; 9.356044; 18.517671; -0.044405; 0.001687; 8.500000; -6.335743; 0.314319; 0.598741
50.322450; 9.364387; 18.717202; -0.044119; 0.001178; 8.349829; -10.073424; 0.311174; 0.600595
50.522156; 9.372766; 18.916732; -0.043964; 0.000359; 8.105341; -10.100432; 0.308878; 0.601604
50.721862; 9.381149; 19.116262; -0.043988; -0.000602; 7.852558; -10.100438; 0.307258; 0.601943
50.921568; 9.389506; 19.315793; -0.044085; -0.000340; 7.591362; -10.021753; 0.306175; 0.601822
51.121273; 9.397851; 19.515324; -0.043942; 0.001825; 7.322999; -9.879497; 0.306225; 0.601399
51.320979; 9.406253; 19.714853; -0.043297; 0.004656; 7.048452; -9.756202; 0.309121; 0.600429
51.520686; 9.414788; 19.914377; -0.042077; 0.007556; 6.766407; -9.663768; 0.313054; 0.598390
51.720391; 9.423527; 20.113891; -0.040299; 0.010251; 6.474935; -9.595146; 0.312891; 0.596096
51.920098; 9.432536; 20.313394; -0.037991; 0.012859; 6.171928; -9.569888; 0.310855; 0.595680
52.119803; 9.441869; 20.512882; -0.035230; 0.014781; 5.854118; -9.569196; 0.306309; 0.597775
52.319503; 9.451391; 20.712355; -0.032558; 0.011848; 5.518059; -8.938362; 0.300000; 0.601702
52.519198; 9.459934; 20.911867; -0.027298; 0.041728; 5.184515; -7.367772; 0.303592; 0.596797
52.718898; 9.464948; 21.111504; -0.012036; 0.112197; 4.892513; -6.115558; 0.333628; 0.570411
52.918601; 9.464057; 21.311204; 0.017435; 0.182951; 4.636191; -5.112907; 0.372565; 0.542525
53.118294; 9.454987; 21.510692; 0.061007; 0.253466; 4.410475; -4.307983; 0.413653; 0.513319
53.317976; 9.435448; 21.709416; 0.118581; 0.323237; 4.210911; -3.643787; 0.456909; 0.482101
53.517644; 9.403137; 21.906451; 0.190046; 0.392745; 4.034418; -3.062378; 0.502783; 0.448486
53.717291; 9.355765; 22.100397; 0.275450; 0.463096; 3.879882; -2.471114; 0.551430; 0.412386
53.916912; 9.291134; 22.289266; 0.375262; 0.537463; 3.750544; -1.768569; 0.602922; 0.374044
54.116508; 9.207261; 22.470384; 0.490519; 0.618344; 3.655168; -0.765018; 0.659708; 0.335164
54.316077; 9.102526; 22.640261; 0.622868; 0.709636; 3.613132; -0.029097; 0.731651; 0.304584
54.515618; 8.975974; 22.794539; 0.770058; 0.766689; 3.611523; -0.029097; 0.800866; 0.301159
54.715165; 8.828414; 22.928871; 0.915713; 0.689937; 3.609914; 0.980031; 0.725766; 0.317603
54.914733; 8.663694; 23.041540; 1.044618; 0.601560; 3.663725; 1.895384; 0.591008; 0.355208
55.114331; 8.486359; 23.133148; 1.156377; 0.518577; 3.765615; 2.615024; 0.535440; 0.392102
55.313953; 8.300178; 23.205157; 1.252323; 0.442888; 3.901825; 3.223407; 0.506820; 0.418731
55.513597; 8.108071; 23.259493; 1.333799; 0.373548; 4.063446; 3.795288; 0.475852; 0.447811
55.713258; 7.912244; 23.298434; 1.401901; 0.308830; 4.245862; 4.392394; 0.443143; 0.478690
55.912935; 7.714275; 23.324498; 1.457330; 0.246544; 4.447647; 5.078847; 0.409346; 0.510719
56.112623; 7.515216; 23.340336; 1.500515; 0.186148; 4.670112; 5.251346; 0.374726; 0.543622
56.312321; 7.315692; 23.348681; 1.531788; 0.127166; 4.889500; 5.246667; 0.339358; 0.577107
56.512024; 7.116022; 23.352313; 1.551307; 0.068379; 5.099276; 5.241993; 0.308721; 0.601398
56.711730; 6.916323; 23.353914; 1.559497; 0.013671; 5.300580; 5.237323; 0.300012; 0.606862
56.911436; 6.716623; 23.355446; 1.560586; -0.002608; 5.494344; 5.232657; 0.302618; 0.605264
57.111142; 6.516928; 23.357548; 1.559440; -0.008830; 5.681339; 5.227995; 0.302667; 0.606209
57.310848; 6.317241; 23.360297; 1.557028; -0.015326; 5.862215; 5.223337; 0.301446; 0.608417
57.510554; 6.117564; 23.363687; 1.553282; -0.022200; 6.037520; 5.218683; 0.300190; 0.610655
57.710259; 5.917899; 23.367706; 1.548386; -0.026828; 6.207726; 5.214034; 0.300015; 0.611808
57.909965; 5.718248; 23.372379; 1.543474; -0.022327; 6.373243; 5.209388; 0.301887; 0.610916
58.109671; 5.518616; 23.377797; 1.539407; -0.018402; 6.534427; 5.204747; 0.306536; 0.607248
58.309376; 5.319006; 23.384010; 1.536030; -0.015430; 6.691592; 5.200110; 0.314660; 0.599922
58.509082; 5.119424; 23.391024; 1.533179; -0.013122; 6.845013; 5.195477; 0.327985; 0.583291
58.708788; 4.919870; 23.398815; 1.530730; -0.011415; 6.994938; 5.190848; 0.345758; 0.566603
58.908494; 4.720346; 23.407335; 1.528550; -0.010417; 7.141587; 5.186223; 0.337143; 0.572442
59.108200; 4.520851; 23.416509; 1.526505; -0.010073; 7.285158; 5.181603; 0.323212; 0.585838
59.307906; 4.321382; 23.426236; 1.524471; -0.010299; 7.425829; -3.744031; 0.312481; 0.597263
59.507612; 4.121935; 23.436392; 1.522347; -0.010983; 7.324457; -9.498355; 0.305427; 0.605013
59.707317; 3.922502; 23.446834; 1.520023; -0.012293; 7.060753; -9.498321; 0.301494; 0.609642
59.907022; 3.723077; 23.457403; 1.517503; -0.012937; 6.786812; -9.505948; 0.300001; 0.611833
60.106728; 3.523652; 23.467986; 1.515329; -0.008818; 6.501105; -9.721040; 0.300047; 0.612488
60.306434; 3.324228; 23.478605; 1.514031; -0.004174; 6.195321; -9.823280; 0.300428; 0.612810
60.506140; 3.124808; 23.489287; 1.514345; 0.007359; 5.870162; -8.564640; 0.300000; 0.613816
60.705845; 2.925376; 23.499730; 1.519904; 0.048476; 5.571201; -7.202898; 0.300402; 0.612433
60.905550; 2.725873; 23.508696; 1.534876; 0.101554; 5.306751; -6.022307; 0.314706; 0.595530
61.105252; 2.526243; 23.514059; 1.560654; 0.156666; 5.075080; -5.009792; 0.358696; 0.560327
61.304947; 2.326549; 23.513406; 1.597486; 0.212295; 4.873975; -4.104612; 0.401819; 0.526185
61.504634; 2.127070; 23.504304; 1.645507; 0.268793; 4.702802; -3.247955; 0.444344; 0.492872
61.704309; 1.928394; 23.484346; 1.704929; 0.326549; 4.562805; -2.368704; 0.486222; 0.460463
61.903972; 1.731507; 23.451169; 1.776067; 0.386231; 4.457935; -1.359919; 0.527111; 0.429318
62.103617; 1.537885; 23.402502; 1.859438; 0.449207; 4.396597; -0.043083; 0.566459; 0.399979
62.303243; 1.349578; 23.336237; 1.955924; 0.517790; 4.394639; -13.805908; 0.603748; 0.372940
62.502844; 1.169302; 23.250554; 2.066853; 0.594225; 3.714712; -0.919798; 0.647485; 0.342228
