
# 2025-04-30 02:42:28
# d41d8cd98f00b204e9800998ecf8427e
# s_m;  x_m;  y_m;  psi_rad;  kappa_radpm;  vx_mps;  ax_mps2;  w_tr_right_m;  w_tr_left_m
15.376471; -0.096613; 8.186649; 3.094696; -0.004692; 8.500000; 0.000000; 0.460142; 0.498812
15.576177; -0.105453; 7.987139; 3.093764; -0.004644; 8.500000; 0.000000; 0.473331; 0.505887
15.775883; -0.114446; 7.787636; 3.092840; -0.004608; 8.500000; 0.000000; 0.480270; 0.514461
15.975589; -0.123594; 7.588139; 3.091922; -0.004584; 8.500000; 0.000000; 0.468488; 0.523553
16.175295; -0.132897; 7.388650; 3.091008; -0.004571; 8.500000; 0.000000; 0.446920; 0.525090
16.375001; -0.142356; 7.189168; 3.090096; -0.004563; 8.500000; 0.000000; 0.423677; 0.522341
16.574707; -0.151970; 6.989694; 3.089185; -0.004557; 8.500000; 0.000000; 0.403230; 0.516276
16.774413; -0.161738; 6.790227; 3.088276; -0.004550; 8.500000; 0.000000; 0.405238; 0.518083
16.974119; -0.171661; 6.590768; 3.087369; -0.004538; 8.500000; 0.000000; 0.420028; 0.525486
17.173825; -0.181739; 6.391316; 3.086465; -0.004516; 8.500000; 0.000000; 0.436500; 0.533918
17.373531; -0.191971; 6.191873; 3.085566; -0.004480; 8.500000; 0.000000; 0.448414; 0.542803
17.573237; -0.202360; 5.992437; 3.084677; -0.004427; 8.500000; 0.000000; 0.449522; 0.552492
17.772942; -0.212906; 5.793010; 3.083801; -0.004352; 8.500000; 0.000000; 0.425250; 0.556630
17.972648; -0.223612; 5.593591; 3.082942; -0.004251; 8.500000; 0.000000; 0.391727; 0.552013
18.172354; -0.234482; 5.394181; 3.082106; -0.004121; 8.500000; 0.000000; 0.368483; 0.547811
18.372060; -0.245520; 5.194781; 3.081299; -0.003957; 8.500000; 0.000000; 0.354393; 0.552950
18.571766; -0.256733; 4.995390; 3.080529; -0.003755; 8.500000; 0.000000; 0.343144; 0.564626
18.771472; -0.268127; 4.796009; 3.079803; -0.003514; 8.500000; -1.824102; 0.338605; 0.586917
18.971178; -0.279712; 4.596640; 3.079130; -0.003229; 8.457038; -9.928588; 0.340215; 0.613320
19.170884; -0.291499; 4.397282; 3.078518; -0.002899; 8.219260; -9.954887; 0.346693; 0.633775
19.370590; -0.303501; 4.197937; 3.077977; -0.002523; 7.973737; -9.981418; 0.344325; 0.623030
19.570296; -0.315731; 3.998606; 3.077516; -0.002097; 7.719724; -10.007962; 0.334154; 0.595615
19.770002; -0.328207; 3.799290; 3.077143; -0.001631; 7.456352; -10.033346; 0.325218; 0.585184
19.969708; -0.340946; 3.599991; 3.076860; -0.001203; 7.182624; -10.053006; 0.318744; 0.589752
20.169414; -0.353963; 3.400709; 3.076646; -0.000941; 6.897474; -10.058696; 0.313222; 0.596726
20.369120; -0.367268; 3.201447; 3.076464; -0.000883; 6.599843; -10.035693; 0.308300; 0.603089
20.568825; -0.380861; 3.002205; 3.076244; -0.001328; 6.288871; -10.035702; 0.303934; 0.608760
20.768527; -0.394636; 2.802978; 3.076161; 0.000524; 5.961701; -8.924683; 0.300110; 0.611200
20.968231; -0.407930; 2.603717; 3.079759; 0.035858; 5.654870; -7.438076; 0.303066; 0.607341
21.167937; -0.419222; 2.404330; 3.092361; 0.090552; 5.385811; -6.337894; 0.318067; 0.597726
21.367642; -0.426846; 2.204772; 3.115439; 0.140550; 5.145459; -5.489440; 0.338722; 0.584390
21.567341; -0.429007; 2.005084; -3.134945; 0.187977; 4.927818; -4.787751; 0.363146; 0.567272
21.767034; -0.423796; 1.805459; -3.092698; 0.235219; 4.729828; -4.190697; 0.392076; 0.545670
21.966719; -0.409282; 1.606302; -3.040979; 0.282906; 4.549462; -3.656616; 0.425972; 0.519179
22.166395; -0.383543; 1.408292; -2.979608; 0.331976; 4.386027; -3.153378; 0.464865; 0.487834
22.366059; -0.344707; 1.212442; -2.908247; 0.383068; 4.240029; -2.656251; 0.508182; 0.452294
22.565710; -0.290985; 1.020154; -2.826481; 0.436335; 4.113028; -2.144286; 0.554490; 0.414091
22.765345; -0.220693; 0.833303; -2.733921; 0.491360; 4.007570; -1.528205; 0.601770; 0.375814
22.964962; -0.132284; 0.654332; -2.629985; 0.550557; 3.930686; -0.767674; 0.662536; 0.339369
23.164546; -0.024467; 0.486376; -2.514033; 0.611879; 3.891490; -0.033753; 0.770388; 0.309243
23.364097; 0.103522; 0.333276; -2.387072; 0.660929; 3.889758; -0.033753; 0.832680; 0.301204
23.563662; 0.250667; 0.198463; -2.258158; 0.632002; 3.888025; 0.412467; 0.738303; 0.324545
23.763247; 0.413345; 0.082834; -2.138467; 0.568245; 3.909152; 1.282298; 0.634561; 0.362157
23.962861; 0.587867; -0.014057; -2.030889; 0.510374; 3.974115; 1.904131; 0.582604; 0.395744
24.162497; 0.771184; -0.093110; -1.934094; 0.459935; 4.068667; 2.349279; 0.543568; 0.427767
24.362145; 0.960819; -0.155543; -1.847279; 0.410112; 4.182380; 2.787183; 0.505454; 0.459206
24.561808; 1.154832; -0.202704; -1.770131; 0.362952; 4.313402; 3.205613; 0.469751; 0.488471
